note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
8,,[19],"[[142, 468, 365, 491]]",9,[19],"[[141, 649, 297, 671]]",[],[],[],['8']
9,,[19],"[[141, 649, 297, 671]]",10,[19],"[[141, 972, 394, 999]]",[UUID('8105db38-0c9d-3a79-b1f1-f6d03e6317a2')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fadd6fab160>],['9']
10,,[19],"[[141, 972, 394, 999]]",11,[20],"[[141, 266, 497, 292]]",[UUID('b289cc72-54e4-3e1e-b41b-ba810cc12301')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fad49435790>],['10']
11,,[20],"[[141, 266, 497, 292]]",12,[20],"[[142, 776, 253, 802]]",[UUID('3d7aa904-7abf-3426-b1ae-c410dbb26337')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<UAT_app.database.db_models.TableLogs object at 0x7fadd360c730>],['11']
13,,[21],"[[142, 860, 382, 886]]",14,[22],"[[142, 694, 444, 720]]","[UUID('72335360-0cc6-3cd9-96a4-f70077bc654b'), UUID('d7988c4f-d09c-3ba8-ac2c-d7b7cb148d86')]","[[5, 6, 7, 8, 9, 10, 11, 12], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]","[<UAT_app.database.db_models.TableLogs object at 0x7fadd4c4bcd0>, <UAT_app.database.db_models.TableLogs object at 0x7fad5f780fd0>]",['13']
4,,[17],"[[141, 867, 321, 891]]",5,[17],"[[141, 1090, 594, 1116]]",[UUID('6a10f31e-b6a9-313e-85c3-f1f89522104e')],"[[9, 10, 11, 12, 13, 14, 15, 16]]",[<UAT_app.database.db_models.TableLogs object at 0x7fadd49dad00>],['4']
5,(a),[17],"[[141, 1127, 346, 1153]]",(b),[18],"[[141, 304, 300, 329]]",[UUID('6a10f31e-b6a9-313e-85c3-f1f89522104e')],"[[17, 18, 19, 20, 21]]",[<UAT_app.database.db_models.TableLogs object at 0x7fadd49dad00>],['5(a)']
5,(b),"[23, 18]","[[141, 304, 852, 329], [141, 304, 300, 329]]",(c),[24],"[[583, 1519, 608, 1539]]","[UUID('b4a9a065-b563-3c1c-bfe9-d261e315f449'), UUID('9e18a0bb-55d8-3118-801f-30ceee054993')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[<UAT_app.database.db_models.TableLogs object at 0x7fadd151db50>, <UAT_app.database.db_models.TableLogs object at 0x7fadd176de50>]",['5(b)']
6,,[18],"[[142, 567, 388, 594]]",7,[19],"[[141, 266, 461, 290]]",[UUID('2d930aad-9df8-3721-8c0d-89bdca787510')],"[[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]]",[<UAT_app.database.db_models.TableLogs object at 0x7fadd151d340>],['6']
7,,[19],"[[141, 266, 461, 290]]",8,[19],"[[142, 468, 365, 491]]",[UUID('c0904331-c00d-39b7-94e9-1d35760782db')],"[[0, 1, 2, 3]]",[<UAT_app.database.db_models.TableLogs object at 0x7fad5eacc040>],['7']
